product_name,total_product_views,total_add_to_cart,total_purchases,sessions,users
Google Sunglasses,526,405,310,2470,2293
Google Men's Vintage Badge Tee Black,649,369,184,8045,7155
Google Women's Vintage Hero Tee Black,198,180,162,2317,2058
Google Men's Long & Lean Tee Charcoal,5,38,128,410,367
Google 22 oz Water Bottle,230,217,118,2510,2284
Google Men's Vintage Badge Tee Sage,163,138,118,5519,4952
Google Men's 100% Cotton Short Sleeve Hero Tee Black,43,55,114,1851,1679
Google Men's Vintage Badge Tee White,235,142,102,5498,4933
Google Men's 100% Cotton Short Sleeve Hero Tee White,1251,499,100,13188,11540
Google Men's Short Sleeve Hero Tee Charcoal,7,47,100,324,296
Google Laptop and Cell Phone Stickers,381,235,98,5116,4699
Google Women's Scoop Neck Tee Black,99,78,92,2289,2039
Foam Can and Bottle Cooler,115,68,92,4988,4537
Google Men's Bike Short Sleeve Tee Charcoal,21,52,88,134,124
Red Shine 15 oz Mug,344,181,86,4443,4090
Google Blackout Cap,187,47,78,5197,4726
Google Doodle Decal,257,114,78,5883,5427
Google Men's 100% Cotton Short Sleeve Hero Tee Red,17,18,74,964,874
26 oz Double Wall Insulated Bottle,395,138,72,5294,4744
Google Men's 100% Cotton Short Sleeve Hero Tee Navy,16,44,72,2070,1874
Leatherette Journal,151,76,70,1595,1440
Google Men's Short Sleeve Badge Tee Charcoal,4,30,69,236,224
Rubber Grip Ballpoint Pen 4 Pack,99,77,68,3554,3233
Google Men's Long Sleeve Raglan Ocean Blue,9,57,68,2291,2044
YouTube Men's Fleece Hoodie Black,120,123,66,1308,1189
Google Women's Short Sleeve Hero Tee Grey,29,56,64,560,507
Google Twill Cap,306,102,64,5768,5232
Google Canvas Tote Natural/Navy,202,81,62,4414,4028
Recycled Paper Journal Set,41,35,62,524,492
Spiral Notebook and Pen Set,84,36,60,1674,1511
Google Women's Vintage Hero Tee White,142,100,60,2328,2073
Android Men's Long & Lean Badge Tee Charcoal,64,74,60,2801,2582
Google Men's Short Sleeve Performance Badge Tee Charcoal,62,37,58,1216,1144
Google Women's Scoop Neck Tee White,43,39,58,2258,2014
Google Men's Short Sleeve Performance Badge Tee Pewter,57,29,58,1135,1063
Android Men's Short Sleeve Hero Tee Heather,7,17,56,160,150
Sport Bag,176,58,54,4922,4461
Google Men's  Zip Hoodie,434,159,54,5083,4533
Recycled Mouse Pad,133,85,54,4279,4017
Google Kick Ball,151,66,54,2866,2629
Google RFID Journal,96,42,52,1586,1448
Windup Android,209,103,52,5667,5187
Crunch Noise Dog Toy,44,39,52,1095,1038
Google Men's Watershed Full Zip Hoodie Grey,234,95,52,3981,3562
