conversion_path,user_count,total_sessions,total_transactions
Organic Search,264507,264507,1210
Referral,42247,42247,1100
Referral > Referral,7899,15743,958
Direct,88262,88262,723
Referral > Referral > Referral,2839,8488,684
Organic Search > Organic Search,22915,45604,636
Referral > Referral > Referral > Referral,1348,5384,460
Direct > Direct,9174,18259,392
Organic Search > Organic Search > Organic Search,5474,16355,360
Referral > Referral > Referral > Referral > Referral,705,3521,349
Direct > Direct > Direct,2616,7816,228
Referral > Referral > Referral > Referral > Referral > Referral,405,2427,228
Organic Search > Organic Search > Organic Search > Organic Search,2124,8464,208
Referral > Referral > Referral > Referral > Referral > Referral > Referral,235,1642,166
Organic Search > Organic Search > Organic Search > Organic Search > Organic Search,1037,5168,158
Paid Search,11776,11776,153
Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral,170,1360,142
Direct > Direct > Direct > Direct,1047,4176,131
Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search,507,3034,111
Direct > Referral,981,1962,86
Paid Search > Paid Search,1502,2992,79
Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral,96,863,71
Direct > Referral > Referral,308,924,65
Direct > Direct > Direct > Direct > Direct,483,2405,62
Organic Search > Referral,1154,2308,60
Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral,70,700,57
Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search,320,2234,53
Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search,191,1527,50
Direct > Direct > Direct > Direct > Direct > Direct,277,1660,49
Direct > Referral > Referral > Referral,131,524,46
Direct > Direct > Direct > Direct > Direct > Direct > Direct,159,1110,45
Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral,47,516,42
Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral > Referral,41,489,40
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,111,888,38
Social,201957,201957,36
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,1,86,36
Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search > Organic Search,134,1202,35
Referral > Organic Search,822,1644,34
Organic Search > Paid Search,1047,2094,31
Display,1415,1415,31
Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct > Direct,67,603,31
